Gender,Age,H.S.C passing year,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly family income?,Creditos_Normalizados,Semestres_Teoricos,Semestres_Reales,Semestres_Extra,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
1,20,2019,0,0,4,4,0,1,1,1,95,1,0,0,4,0,1,0,13.400,0,15.750,25000,77.900,8,5,-3,False,True,False,False,True
1,23,2017,0,1,2,1,1,1,1,4,70,0,0,1,4,1,0,0,13.400,0,15.750,200000,155.900,12,9,-3,False,True,False,True,False
1,26,2012,0,0,1,1,0,1,1,1,85,1,0,0,1,0,1,1,13.400,1,15.750,50000,120.000,20,21,1,True,False,False,False,True
1,22,2019,0,0,3,5,1,1,1,1,99,0,0,0,3,0,1,0,13.400,0,15.750,40000,155.900,12,9,-3,False,True,False,False,True
1,23,2018,0,1,1,1,0,1,1,1,70,0,0,0,1,1,0,1,13.500,0,14.600,15000,118.500,12,9,-3,False,True,False,True,False
1,21,2018,0,1,2,1,0,1,1,1,73,0,0,1,2,0,0,0,13.400,0,15.750,75000,196.400,12,11,-1,False,True,False,False,True
1,22,2018,0,0,2,2,1,1,1,1,100,1,1,1,2,0,1,1,13.400,0,15.750,40000,196.400,12,11,-1,False,True,False,False,True
0,23,2016,0,1,3,2,0,1,1,1,70,1,0,0,2,0,1,1,14.900,1,14.800,20000,183.900,14,14,0,True,False,False,False,True
0,21,2018,0,0,1,1,0,1,1,2,75,0,0,1,2,0,0,0,13.400,0,15.750,40000,196.400,12,11,-1,False,False,False,True,False
0,20,2019,1,0,5,2,0,1,1,7,80,0,0,0,2,1,1,1,13.400,0,15.750,62488,17.100,8,2,-6,True,False,False,False,True
0,21,2019,0,0,6,3,0,1,1,2,88,0,0,1,4,0,1,0,13.400,0,15.750,62488,155.900,12,9,-3,False,True,False,False,True
1,22,2019,0,0,3,4,0,1,1,2,99,0,0,0,7,0,1,0,17.600,0,14.500,15000,155.900,12,9,-3,False,True,False,False,True
1,23,2018,1,1,4,5,0,1,1,3,100,0,0,1,2,1,1,0,17.400,0,15.400,20000,106.000,10,8,-2,False,True,False,False,True
1,25,2014,1,1,2,1,1,1,1,3,90,1,0,1,3,1,0,0,13.400,0,15.750,63000,196.400,18,11,-7,False,False,False,False,True
0,22,2018,1,1,1,2,1,1,1,3,80,0,0,0,3,0,0,0,13.400,0,15.750,50000,196.400,12,11,-1,True,False,False,False,True
1,20,2019,0,0,2,2,1,1,1,5,90,1,0,0,2,0,0,0,13.400,0,15.750,40000,101.300,10,6,-4,True,False,False,False,True
1,25,2016,0,0,6,4,1,1,1,2,2,1,0,1,4,1,0,0,15.800,0,13.400,60000,188.600,14,14,0,False,False,False,False,True
0,21,2019,0,0,2,3,0,1,1,1,87,1,0,1,1,0,0,0,9.600,0,12.100,60000,60.800,8,5,-3,True,False,True,False,False
1,20,2020,0,1,2,1,0,1,1,2,80,0,0,1,4,0,0,1,13.400,0,15.750,30000,56.100,8,4,-4,False,True,False,False,True
1,27,2014,0,1,5,2,1,1,1,6,50,1,0,1,2,0,0,0,13.400,0,15.750,7000,176.100,20,10,-10,True,False,False,False,True
0,22,2018,0,0,8,3,1,1,1,4,99,0,0,1,4,0,1,0,13.400,0,15.750,20000,196.400,12,11,-1,False,True,False,False,True
1,20,2020,0,1,3,3,0,1,1,1,99,0,0,0,1,0,0,0,13.400,0,15.750,20000,17.100,6,2,-4,False,True,False,False,True
1,22,2018,0,1,1,1,0,1,1,5,70,1,0,1,1,0,0,0,13.400,0,15.750,20000,120.000,10,7,-3,True,False,False,False,True
1,21,2020,1,1,7,2,1,1,1,1,100,0,0,1,3,1,0,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
1,23,2017,0,0,2,1,0,1,1,1,75,1,1,1,3,0,1,0,13.400,0,15.750,35000,212.000,14,13,-1,True,False,False,False,True
0,23,2020,1,0,6,3,0,1,1,6,100,0,0,1,2,0,1,0,13.400,0,15.750,62488,137.200,10,8,-2,False,True,False,False,True
0,25,2015,0,0,2,2,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,60000,137.200,16,8,-8,False,True,True,False,False
0,20,2020,0,1,4,3,0,1,0,2,88,0,0,1,3,0,1,0,13.400,0,15.750,60000,17.100,6,2,-4,False,True,False,False,True
1,21,2020,1,1,2,2,0,1,1,2,80,0,0,1,2,1,0,0,13.400,0,15.750,50000,56.100,8,4,-4,False,False,False,True,False
0,26,2014,0,1,2,2,1,1,1,3,80,1,1,0,2,1,0,1,13.400,0,15.750,30000,120.000,20,22,2,False,True,True,False,False
1,23,2018,0,1,5,5,0,1,1,3,90,0,0,1,2,0,1,0,16.450,0,16.150,28000,177.700,12,11,-1,False,True,False,False,True
0,22,2018,0,1,3,1,0,1,1,3,100,0,0,1,3,1,0,0,13.400,0,15.750,60000,196.400,12,11,-1,False,True,False,False,True
1,23,2017,0,0,2,2,0,1,1,1,100,1,0,1,3,0,1,0,13.400,0,15.750,90000,212.000,16,12,-4,False,False,False,False,True
